,Dummy (majoritária),Regressão Logística,k-NN,SVM-RBF,Random Forest,XGBoost,Soft Voting,Stacking
Dummy (majoritária),1.0,0.0464,0.6277,0.911,0.726,1.0,0.911,0.9989
Regressão Logística,0.0464,1.0,0.911,0.6277,0.8501,0.0871,0.6277,0.0063
k-NN,0.6277,0.911,1.0,0.9996,1.0,0.7712,0.9996,0.2485
SVM-RBF,0.911,0.6277,0.9996,1.0,1.0,0.9678,1.0,0.5763
Random Forest,0.726,0.8501,1.0,1.0,1.0,0.8501,1.0,0.33
XGBoost,1.0,0.0871,0.7712,0.9678,0.8501,1.0,0.9678,0.9921
Soft Voting,0.911,0.6277,0.9996,1.0,1.0,0.9678,1.0,0.5763
Stacking,0.9989,0.0063,0.2485,0.5763,0.33,0.9921,0.5763,1.0
