Modelo,PR-AUC,PR-AUC (dp),ROC-AUC,ROC-AUC (dp),F1-macro,F1-macro (dp),Balanced Acc.,Balanced Acc. (dp),Precision (1),Precision (1) (dp),Recall (1),Recall (1) (dp),F1 (1),F1 (1) (dp),Acuracia,Acuracia (dp)
Dummy (majoritaria),0.376,0.0049,0.5,0.0,0.3842,0.0019,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.0049
Regressao Logistica,0.4131,0.0362,0.5042,0.0415,0.5001,0.042,0.5051,0.043,0.382,0.0468,0.4696,0.0673,0.4201,0.0505,0.514,0.0432
k-NN,0.3959,0.0421,0.4988,0.0623,0.47,0.0391,0.5034,0.0294,0.3842,0.09,0.1563,0.0547,0.2194,0.067,0.5893,0.0298
SVM-RBF,0.396,0.0432,0.4707,0.0488,0.4739,0.0396,0.4775,0.0412,0.3498,0.0489,0.3992,0.0929,0.3703,0.0612,0.4967,0.0393
Random Forest,0.3907,0.0249,0.5043,0.0469,0.4437,0.0338,0.4987,0.0208,0.3525,0.1362,0.0976,0.043,0.1513,0.0634,0.598,0.0201
XGBoost,0.3833,0.0325,0.4811,0.0548,0.4764,0.0398,0.4793,0.0404,0.3506,0.0573,0.296,0.0392,0.3194,0.042,0.5247,0.0463
Soft Voting,0.3906,0.0336,0.4921,0.0531,0.4767,0.0387,0.4848,0.0387,0.3548,0.0669,0.2516,0.0445,0.2924,0.0488,0.5427,0.0431
Stacking,0.3716,0.0216,0.4632,0.0387,0.384,0.0023,0.4995,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.6233,0.006
