Dummy (majoritaria),Regressao Logistica,k-NN,SVM-RBF,Random Forest,XGBoost,Soft Voting,Stacking
0.38,0.3573465438171189,0.35680361981848807,0.3256198329327485,0.3782292592746611,0.3781031750513699,0.3634863138300898,0.3692105364194117
0.38,0.42022798317400833,0.39105133170922646,0.43449200770626417,0.39924642385897247,0.3812974080260376,0.3914082588709179,0.3695780012509525
0.38,0.4263850352673766,0.4496743542524877,0.4361104632200692,0.43198507257574037,0.4695894051226962,0.46106219823017025,0.35342987284484195
0.37,0.4075657498324707,0.35414417410426724,0.4252689162587747,0.338112209323876,0.3276805671244256,0.35329120751495546,0.3218721551180691
0.37,0.3997968897076155,0.32626784966206035,0.3534082228491028,0.36354470504464265,0.38986613932591313,0.3742592117000633,0.36107994408334
0.38,0.4333336624981723,0.3292769083641972,0.40772832073576015,0.4187778172532844,0.4189433385426854,0.4285726511593102,0.37394442560471186
0.38,0.4784510910252927,0.40187909277125056,0.45402334278128476,0.4223176871286193,0.4218659711767858,0.4420176645249495,0.38606302448410745
0.38,0.43672196453312007,0.41984056318741714,0.4374995855857098,0.40896559245261166,0.38270701122284834,0.40073522435209097,0.3867570269113423
0.37,0.4402281787616524,0.4111574111716042,0.44829244708796284,0.4033979708135603,0.36546150309596537,0.3941913426859643,0.3850253017767915
0.37,0.37349753308749617,0.40829676306456497,0.3344020406248487,0.3942467271291344,0.36586971267335583,0.36175059333180515,0.35948918773855
0.38,0.44132941927634217,0.38435213540436697,0.36645325321241307,0.3791999932150024,0.37751678486112494,0.39584638879165357,0.39867496263225977
0.38,0.3381046175817492,0.3685751990399866,0.32833692766910805,0.35393929660974777,0.34546068835053434,0.3301748252619754,0.33936076472489635
0.38,0.4433398927973655,0.4127429422137807,0.398996021743966,0.3934090528925137,0.3830912744912808,0.4092338682097365,0.37804557131460553
0.37,0.3792445854369072,0.45031618447110133,0.40007523935711964,0.3834010242424417,0.3637095487853348,0.3695387923514046,0.4092367265273664
0.37,0.4211908346728503,0.47351931359043736,0.38926503585058647,0.39109564304194055,0.3790281199186508,0.38268492657508524,0.3814910889906112
